Timestamp,Topic,Payload,QoS,Retain,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6
2025-12-29T20:01:20.442820,aemet/Baleares/B278,"{""idema"":""B278"",""lon"":2.736706,""fint"":""2025-12-29T16:00:00+0000"",""prec"":0,""alt"":5.1,""vmax"":2.1,""vv"":1.3,""dv"":290,""lat"":39.560798,""dmax"":290,""ubi"":""PALMA DE MALLORCA/SON SANT JOAN"",""pres"":1017.2,""hr"":90,""stdvv"":0.2,""ts"":10.9,""pres_nmar"":1020.5,""tamin"":10.9,""ta"":11.1,""tamax"":12.5,""tpr"":9.6,""stddv"":5,""inso"":20}",0,True,aemet,Baleares,B278,,,
2025-12-29T20:01:20.442964,aemet/Badajoz/4452,"{""idema"":""4452"",""lon"":-6.81389,""fint"":""2025-12-29T18:00:00+0000"",""prec"":0,""alt"":185.5,""vmax"":1.3,""vv"":0.9,""dv"":248,""lat"":38.883396,""dmax"":265,""ubi"":""BADAJOZ/TALAVERA LA REAL"",""pres"":997.5,""hr"":79,""stdvv"":0.1,""ts"":7.2,""pres_nmar"":1020,""tamin"":10.7,""ta"":10.7,""tamax"":12.7,""tpr"":7.1,""stddv"":11,""inso"":0,""tss5cm"":8.8,""pacutp"":0,""tss20cm"":9.8}",0,True,aemet,Badajoz,4452,,,
2025-12-29T20:01:20.443094,aemet/Cadiz/5972X,"{""idema"":""5972X"",""lon"":-6.205557,""fint"":""2025-12-29T18:00:00+0000"",""prec"":0,""alt"":28,""vmax"":2.3,""vv"":1.2,""dv"":277,""lat"":36.465556,""dmax"":275,""ubi"":""SAN FERNANDO"",""pres"":1016.6,""hr"":85,""pres_nmar"":1020,""tamin"":12.3,""ta"":12.4,""tamax"":13.4,""tpr"":9.9,""rviento"":46}",0,True,aemet,Cadiz,5972X,,,
2025-12-29T20:01:20.443275,aemet/Castellon/8500A,"{""idema"":""8500A"",""lon"":-0.071967,""fint"":""2025-12-29T18:00:00+0000"",""prec"":0,""alt"":43.39,""vmax"":1.8,""vv"":1,""dv"":305,""lat"":39.95728,""dmax"":198,""ubi"":""CASTELL�N-ALMASSORA"",""pres"":1013.5,""hr"":90,""stdvv"":0.3,""ts"":10,""pres_nmar"":1019.4,""tamin"":11.6,""ta"":11.6,""tamax"":12.8,""tpr"":10,""vis"":20,""stddv"":28,""inso"":0,""tss5cm"":11.6,""pacutp"":0,""tss20cm"":11.4}",0,True,aemet,Castellon,8500A,,,
2025-12-29T20:01:20.443444,aemet/Ciudad Real/4121,"{""idema"":""4121"",""lon"":-3.920278,""fint"":""2025-12-29T18:00:00+0000"",""prec"":0,""alt"":626.17,""vmax"":3.3,""vv"":0.9,""dv"":225,""lat"":38.989167,""dmax"":195,""ubi"":""CIUDAD REAL"",""pres"":946.1,""hr"":81,""stdvv"":0.4,""ts"":6.5,""pres_nmar"":1019.9,""tamin"":9.1,""ta"":9.1,""tamax"":10.3,""tpr"":5.9,""vis"":20,""stddv"":37,""inso"":0,""tss5cm"":6.3,""pacutp"":0,""tss20cm"":6.7}",0,True,aemet,Ciudad Real,4121,,,
2025-12-29T20:01:20.443607,aemet/Cordoba/5402,"{""idema"":""5402"",""lon"":-4.846558,""fint"":""2025-12-29T18:00:00+0000"",""prec"":0,""alt"":90,""vmax"":1.5,""vv"":0.1,""dv"":270,""lat"":37.848891,""dmax"":320,""ubi"":""C�RDOBA/AEROPUERTO"",""pres"":1008.7,""hr"":87,""stdvv"":0.2,""ts"":8.2,""pres_nmar"":1019.9,""tamin"":8.7,""ta"":8.9,""tamax"":13.3,""tpr"":6.8,""stddv"":42,""inso"":0}",0,True,aemet,Cordoba,5402,,,
2025-12-29T20:01:20.443758,aemet/La Coruna/1428,"{""idema"":""1428"",""lon"":-8.410515,""fint"":""2025-12-29T18:00:00+0000"",""prec"":0,""alt"":370,""vmax"":3.6,""vv"":2.6,""dv"":290,""lat"":42.888011,""dmax"":320,""ubi"":""SANTIAGO DE COMPOSTELA/LAVACOLLA"",""pres"":976.5}",0,True,aemet,La Coruna,1428,,,
2025-12-29T20:01:20.443872,aemet/Cuenca/8096,"{""idema"":""8096"",""lon"":-2.131944,""fint"":""2025-12-29T18:00:00+0000"",""prec"":0,""alt"":948.52,""vmax"":3.4,""vv"":0.8,""dv"":7,""lat"":40.067222,""dmax"":283,""ubi"":""CUENCA"",""pres"":909.3,""hr"":74,""stdvv"":0.3,""ts"":6.3,""tamin"":7.8,""ta"":7.8,""tamax"":8.5,""tpr"":3.4,""vis"":20,""stddv"":55,""inso"":0,""tss5cm"":7.3,""pacutp"":0,""tss20cm"":6.8,""geo925"":810.9}",0,True,aemet,Cuenca,8096,,,
2025-12-29T20:01:20.444044,aemet/Girona/0367,"{""idema"":""0367"",""lon"":2.763329,""fint"":""2025-12-29T18:00:00+0000"",""prec"":0,""alt"":143,""vmax"":2.1,""vv"":0.8,""dv"":320,""lat"":41.911665,""dmax"":290,""ubi"":""GIRONA  AEROPUERTO"",""pres"":1002.7,""hr"":97,""stdvv"":0.6,""ts"":8.9,""pres_nmar"":1018.4,""tamin"":8.8,""ta"":9,""tamax"":9.9,""tpr"":8.5,""stddv"":22,""inso"":0}",0,True,aemet,Girona,0367,,,
2025-12-29T20:01:20.444182,aemet/Granada/5530E,"{""idema"":""5530E"",""lon"":-3.789774,""fint"":""2025-12-29T17:00:00+0000"",""prec"":0,""alt"":560.12,""vmax"":2.6,""vv"":0.9,""dv"":230,""lat"":37.190293,""dmax"":260,""ubi"":""GRANADA/AEROPUERTO"",""pres"":952.3,""hr"":59,""stdvv"":0.2,""ts"":8.9,""pres_nmar"":1019,""tamin"":11.3,""ta"":11.8,""tamax"":14.1,""tpr"":4.1,""vis"":30,""stddv"":12,""inso"":31}",0,True,aemet,Granada,5530E,,,
2025-12-29T20:01:20.444318,aemet/Guadalajara/3168D,"{""idema"":""3168D"",""lon"":-3.150278,""fint"":""2025-12-29T17:00:00+0000"",""prec"":0,""alt"":727.44,""vmax"":3.2,""vv"":1.6,""dv"":182,""lat"":40.630282,""dmax"":240,""ubi"":""GUADALAJARA"",""pres"":933.9,""hr"":66,""stdvv"":0.4,""ts"":5,""pres_nmar"":1019.2,""tamin"":9,""ta"":9,""tamax"":11.4,""tpr"":3,""vis"":20,""stddv"":13,""inso"":19.9,""tss5cm"":8,""pacutp"":0,""tss20cm"":7.6}",0,True,aemet,Guadalajara,3168D,,,
2025-12-29T20:01:20.444457,aemet/Guipuzcoa/1014A,"{""idema"":""1014A"",""lon"":-1.792116,""fint"":""2025-12-29T18:00:00+0000"",""prec"":0,""alt"":4,""vmax"":2.1,""vv"":1.7,""dv"":170,""lat"":43.357075,""dmax"":170,""ubi"":""DONOSTIA/SAN SEBASTI�N AEROPUERTO"",""pres"":1019.4,""hr"":85,""stdvv"":0.3,""ts"":6.8,""pres_nmar"":1020.4,""tamin"":8.7,""ta"":8.9,""tamax"":10.3,""tpr"":6.5,""stddv"":6}",0,True,aemet,Guipuzcoa,1014A,,,
2025-12-29T20:01:20.444585,aemet/Huelva/4642E,"{""idema"":""4642E"",""lon"":-6.911696,""fint"":""2025-12-29T18:00:00+0000"",""prec"":0,""alt"":17.59,""vmax"":2.8,""vv"":1.5,""dv"":211,""lat"":37.278412,""dmax"":240,""ubi"":""HUELVA  RONDA ESTE"",""pres"":1017.7,""hr"":83,""stdvv"":0.2,""ts"":9.9,""pres_nmar"":1020,""tamin"":11.8,""ta"":11.8,""tamax"":14,""tpr"":9,""vis"":18.6,""stddv"":8,""inso"":6.6,""tss5cm"":13.9,""pacutp"":0,""tss20cm"":13.5}",0,True,aemet,Huelva,4642E,,,
2025-12-29T20:01:20.444723,aemet/Huesca/9898,"{""idema"":""9898"",""lon"":-0.325555,""fint"":""2025-12-29T18:00:00+0000"",""prec"":0,""alt"":546,""vmax"":2.5,""vv"":1.4,""dv"":250,""lat"":42.084556,""dmax"":243,""ubi"":""HUESCA  AEROPUERTO"",""pres"":953.7,""hr"":90,""stdvv"":0.4,""ts"":7.7,""pres_nmar"":1019.6,""tamin"":8.7,""ta"":8.7,""tamax"":9.4,""tpr"":7.1,""stddv"":23,""inso"":0,""tss5cm"":7.1,""pacutp"":0,""tss20cm"":6.5}",0,True,aemet,Huesca,9898,,,
